"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1600000US0661106","Riverdale Park CDP, California","311300","135420","null","null",
"1600000US0661108","Rivergrove CDP, California","-","**","**","-",
"1600000US0661124","River Pines CDP, California","-","**","**","-",
"1600000US0662000","Riverside city, California","418000","5615","null","null",
"1600000US0662168","Robbins CDP, California","361500","85123","null","null",
"1600000US0662200","Robinson Mill CDP, California","-","**","**","-",
"1600000US0662364","Rocklin city, California","553800","9293","null","null",
"1600000US0662490","Rodeo CDP, California","544800","26281","null","null",
"1600000US0662496","Rodriguez Camp CDP, California","-","**","**","-",
"1600000US0662546","Rohnert Park city, California","546300","15772","null","null",
"1600000US0662602","Rolling Hills city, California","2,000,000+","***","***","2,000,000+",
"1600000US0662625","Rolling Hills CDP, California","441700","86774","null","null",
"1600000US0662644","Rolling Hills Estates city, California","1461500","117930","null","null",
"1600000US0662700","Rollingwood CDP, California","462600","21071","null","null",
"1600000US0662756","Romoland CDP, California","345000","23499","null","null",
"1600000US0662826","Rosamond CDP, California","242900","14566","null","null",
"1600000US0662854","Rosedale CDP, California","447700","17725","null","null",
"1600000US0662860","Rose Hills CDP, California","656800","85459","null","null",
"1600000US0662896","Rosemead city, California","610000","11329","null","null",
"1600000US0662910","Rosemont CDP, California","351400","7043","null","null",
"1600000US0662938","Roseville city, California","502800","9767","null","null",
"1600000US0662980","Ross town, California","2,000,000+","***","***","2,000,000+",
"1600000US0663050","Rossmoor CDP, California","1100600","29324","null","null",
"1600000US0663106","Rough and Ready CDP, California","614000","326292","null","null",
"1600000US0663134","Round Mountain CDP, California","182500","147314","null","null",
"1600000US0663148","Round Valley CDP, California","431300","415504","null","null",
"1600000US0663168","Rouse CDP, California","174500","167267","null","null",
"1600000US0663218","Rowland Heights CDP, California","675300","13579","null","null",
"1600000US0663302","Rumsey CDP, California","-","**","**","-",
"1600000US0663316","Running Springs CDP, California","292700","23430","null","null",
"1600000US0663386","Ruth CDP, California","325000","197265","null","null",
"1600000US0663400","Rutherford CDP, California","1161800","388271","null","null",
"1600000US0664000","Sacramento city, California","385500","4116","null","null",
"1600000US0664056","Sage CDP, California","373100","42213","null","null",
"1600000US0664140","St. Helena city, California","1370500","331926","null","null",
"1600000US0664210","Salida CDP, California","349500","11227","null","null",
"1600000US0664224","Salinas city, California","477200","7072","null","null",
"1600000US0664252","Salmon Creek CDP, California","-","**","**","-",
"1600000US0664294","Salton City CDP, California","145900","14124","null","null",
"1600000US0664308","Salton Sea Beach CDP, California","-","**","**","-",
"1600000US0664378","Salyer CDP, California","378200","213824","null","null",
"1600000US0664392","Samoa CDP, California","-","**","**","-",
"1600000US0664420","San Andreas CDP, California","335100","47532","null","null",
